speech_ID,speaker_id,speaker_age,speaker_gender,speaker_accent,speech_path,length
p298_234_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_234_mic1.flac,199551
p298_020_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_020_mic1.flac,208892
p298_365_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_365_mic1.flac,163744
p298_110_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_110_mic1.flac,139362
p298_211_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_211_mic1.flac,194040
p298_275_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_275_mic1.flac,179369
p298_147_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_147_mic1.flac,149024
p298_241_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_241_mic1.flac,160021
p298_281_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_281_mic1.flac,155585
p298_066_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_066_mic1.flac,167214
p298_064_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_064_mic1.flac,167072
p298_380_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_380_mic1.flac,161840
p298_108_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_108_mic1.flac,235342
p298_228_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_228_mic1.flac,142251
p298_012_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_012_mic1.flac,210895
p298_229_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_229_mic1.flac,168014
p298_041_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_041_mic1.flac,173179
p298_280_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_280_mic1.flac,180325
p298_233_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_233_mic1.flac,254200
p298_061_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_061_mic1.flac,246284
p298_139_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_139_mic1.flac,254147
p298_148_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_148_mic1.flac,256089
p298_388_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_388_mic1.flac,153720
p298_114_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_114_mic1.flac,163776
p298_329_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_329_mic1.flac,201450
p298_199_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_199_mic1.flac,163556
p298_372_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_372_mic1.flac,160742
p298_184_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_184_mic1.flac,240766
p298_094_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_094_mic1.flac,178988
p298_096_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_096_mic1.flac,203256
p298_345_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_345_mic1.flac,255091
p298_070_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_070_mic1.flac,169390
p298_019_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_019_mic1.flac,319934
p298_227_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_227_mic1.flac,239034
p298_060_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_060_mic1.flac,168188
p298_392_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_392_mic1.flac,137539
p298_119_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_119_mic1.flac,216414
p298_222_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_222_mic1.flac,171366
p298_236_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_236_mic1.flac,137141
p298_063_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_063_mic1.flac,184562
p298_005_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_005_mic1.flac,263307
p298_182_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_182_mic1.flac,135395
p298_172_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_172_mic1.flac,179951
p298_004_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_004_mic1.flac,216583
p298_263_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_263_mic1.flac,267567
p298_099_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_099_mic1.flac,165621
p298_117_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_117_mic1.flac,150761
p298_173_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_173_mic1.flac,173317
p298_179_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_179_mic1.flac,158219
p298_340_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_340_mic1.flac,183910
p298_059_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_059_mic1.flac,182575
p298_017_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_017_mic1.flac,173231
p298_022_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_022_mic1.flac,317616
p298_305_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_305_mic1.flac,175133
p298_346_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_346_mic1.flac,328162
p298_145_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_145_mic1.flac,263217
p298_295_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_295_mic1.flac,125529
p298_353_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_353_mic1.flac,158110
p298_087_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_087_mic1.flac,176909
p298_322_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_322_mic1.flac,166167
p298_301_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_301_mic1.flac,133671
p298_274_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_274_mic1.flac,148823
p298_257_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_257_mic1.flac,162534
p298_332_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_332_mic1.flac,190259
p298_081_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_081_mic1.flac,176997
p298_265_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_265_mic1.flac,178883
p298_196_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_196_mic1.flac,165737
p298_253_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_253_mic1.flac,209533
p298_143_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_143_mic1.flac,197749
p298_368_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_368_mic1.flac,252873
p298_048_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_048_mic1.flac,239105
p298_144_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_144_mic1.flac,201346
p298_008_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_008_mic1.flac,316190
p298_073_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_073_mic1.flac,169482
p298_347_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_347_mic1.flac,212745
p298_045_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_045_mic1.flac,201474
p298_256_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_256_mic1.flac,197682
p298_121_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_121_mic1.flac,146862
p298_389_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_389_mic1.flac,197734
p298_318_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_318_mic1.flac,128004
p298_040_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_040_mic1.flac,173726
p298_299_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_299_mic1.flac,118261
p298_122_mic1,p298,19,M,Irish,podcastmix/podcastmix-synth/train/speech/p298_122_mic1.flac,133757
